nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1659411387653,2282,2863,2974,2585,1896,0.051891554,0.08124365,-0.21975403,1764,1611,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1659475297835,1429,2247,2190,1931,858,0.055574395,0.080421045,-0.2628808,1928,1611,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,1
1659540299119,395,1311,1127,884,267,0.058174044,0.07972146,-0.29364806,2045,1611,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1659605322923,454,1024,748,629,289,0.060200322,0.07910873,-0.31678927,2135,1613,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1659670576057,768,1309,1148,947,447,0.06221188,0.07844928,-0.34098235,2227,1613,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1659734478149,715,1157,980,805,495,0.064944185,0.07747974,-0.37464225,2354,1612,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,1
1659800327482,870,1270,1155,934,751,0.068734415,0.07598937,-0.4211876,2531,1612,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1659864395368,881,1290,1175,919,843,0.07419409,0.07354345,-0.48955932,2791,1612,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1659928397236,822,1290,1211,858,806,0.07937237,0.070784345,-0.5918539,3113,1545,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.843689,36.53,1
1659993344725,935,1460,1687,1015,902,0.082580484,0.06862771,-0.70650804,3415,1411,-15.519084,0.24427481,15.687023,0.25109863,0.001953125,-1.890564,36.53,2
1660058477343,910,1508,2295,1027,827,0.08396314,0.06744765,-0.80932856,3650,1255,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1660122508007,907,1569,2297,1076,802,0.08415366,0.067247786,-0.8955821,3820,1097,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1660187376293,976,1738,2325,1182,833,0.08400983,0.0674274,-0.9739466,3964,943,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.843689,36.53,2
1660253379847,1149,2191,2999,1421,901,0.08372532,0.06784609,-1.0481036,4094,791,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.859314,36.53,1
1660317394401,1185,2467,3861,1489,797,0.08343815,0.068344526,-1.1214716,125,639,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1660382551999,1011,2518,3860,1363,554,0.08343815,0.068344526,-1.2003621,275,489,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1660446515072,1100,2927,3866,1506,664,0.08380467,0.06740077,-1.2897712,467,341,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1660512410756,934,2587,3865,1426,502,0.084334336,0.065565884,-1.390488,700,191,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.859314,36.53,2
1660577459986,1235,2639,3850,1582,983,0.08459842,0.06411713,-1.4935715,928,27,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.843689,36.53,1
1660642634659,2628,3579,3955,2845,2502,0.08466765,0.06322243,-1.5995476,1149,3941,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1660707427947,2578,3652,3503,3155,2507,0.08455124,0.059174396,-1.7236686,1473,3793,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1660772461085,3155,2790,2715,2831,2947,0.08399412,0.055558518,-1.8228076,1741,3684,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
